Seating Capacity,Length,Breadth,Height,Weight,CC,Speed,ElectricMotor
20,8,3.32,2.78,3186,150,6.232319625,1.8
30,10,3.32,2.78,4513,150,5.236485883,1.8
40,12,3.32,2.78,5782,150,4.626297531,1.8
60,16,3.32,2.78,8084,150,3.912545953,1.8
80,16,4.58,2.78,10428,150,3.444864091,1.8
100,18.4,4.58,2.78,12746,150,3.115915322,1.8
20,8,3.32,2.78,3186,150,6.775245737,2.2
30,10,3.32,2.78,4513,150,5.692660324,2.2
40,12,3.32,2.78,5782,150,5.02931565,2.2
60,16,3.32,2.78,8084,150,4.253385879,2.2
80,16,4.58,2.78,10428,150,3.744962093,2.2
100,18.4,4.58,2.78,12746,150,3.387357079,2.2
20,8,3.32,2.78,3186,150,8.813830939,4.3
30,10,3.32,2.78,4513,150,7.405509355,4.3
40,12,3.32,2.78,5782,150,6.542572712,4.3
60,16,3.32,2.78,8084,150,5.53317555,4.3
80,16,4.58,2.78,10428,150,4.871773518,4.3
100,18.4,4.58,2.78,12746,150,4.406569707,4.3
20,8,3.32,2.78,3186,150,11.88456721,8
30,10,3.32,2.78,4513,150,9.985586777,8
40,12,3.32,2.78,5782,150,8.822003246,8
60,16,3.32,2.78,8084,150,7.46093239,8
80,16,4.58,2.78,10428,150,6.569098072,8
100,18.4,4.58,2.78,12746,150,5.941817381,8
20,8,3.32,2.78,3186,150,14.06200956,11
30,10,3.32,2.78,4513,150,11.81510561,11
40,12,3.32,2.78,5782,150,10.43833501,11
60,16,3.32,2.78,8084,150,8.827894255,11
80,16,4.58,2.78,10428,150,7.77266166,11
100,18.4,4.58,2.78,12746,150,7.030453136,11
20,8,3.32,2.78,3186,150,15.72180464,15
30,10,3.32,2.78,4513,150,13.20968965,15
40,12,3.32,2.78,5782,150,11.67041333,15
60,16,3.32,2.78,8084,150,9.869885826,15
80,16,4.58,2.78,10428,150,8.690099919,15
100,18.4,4.58,2.78,12746,150,7.860285563,15
20,8,3.32,2.78,3186,150,16.80731614,20
30,10,3.32,2.78,4513,150,14.12175225,20
40,12,3.32,2.78,5782,150,12.47619664,20
60,16,3.32,2.78,8084,150,10.55135177,20
80,16,4.58,2.78,10428,150,9.290107586,20
100,18.4,4.58,2.78,12746,150,8.402998725,20
20,8,3.32,2.78,3186,150,17.82685082,25
